DATE,OPEN,HIGH,CLOSE,LOW,VOL,AMOUNT,FACTOR
2010-08-12,25.177,25.439,24.655,24.707,1880298.0,26868998.0,1.742
2010-08-13,24.707,25.073,24.655,24.986,765405.0,10941671.0,1.742
2010-08-17,25.648,25.909,25.177,25.439,2125752.0,31016456.0,1.742
2010-08-18,25.439,25.595,25.09,25.404,1674868.0,24303024.0,1.742
2010-08-19,25.404,26.223,25.404,25.996,2637760.0,39200776.0,1.742
2010-08-20,25.787,25.926,24.759,24.916,1442318.0,20918274.0,1.742
2010-08-23,24.846,25.125,24.742,24.881,867638.0,12397866.0,1.742
2010-08-24,25.003,25.543,24.846,25.212,919135.0,13313201.0,1.742
2010-08-25,25.247,26.136,24.655,26.136,3181254.0,46662172.0,1.742
2010-08-26,25.961,27.32,25.578,26.867,6248364.0,95996520.0,1.742
2010-08-27,26.554,26.554,25.979,26.136,2314166.0,34821248.0,1.742
2010-08-30,26.153,26.641,25.996,26.414,1951771.0,29498498.0,1.742
2010-08-31,26.24,26.327,25.805,26.136,1952238.0,29155934.0,1.742
2010-09-01,26.136,26.467,25.264,25.456,1962227.0,29051778.0,1.742
2010-09-02,25.7,26.049,25.369,26.049,1595459.0,23619618.0,1.742
2010-09-03,25.944,26.658,25.892,26.624,2733686.0,41394356.0,1.742
2010-09-06,26.711,27.303,25.961,26.624,3355728.0,51328048.0,1.742
2010-09-07,26.449,26.972,26.17,26.624,1927810.0,29425846.0,1.742
2010-09-08,26.623,26.815,26.449,26.658,1630399.0,24981370.0,1.742
2010-09-09,26.571,27.268,26.24,26.24,2667176.0,40979520.0,1.742
2010-09-10,26.153,26.414,25.561,25.735,2089663.0,30925686.0,1.742
2010-09-13,25.787,26.571,25.787,26.502,1825127.0,27467648.0,1.742
2010-09-14,26.658,26.658,26.136,26.327,1619495.0,24487068.0,1.742
2010-09-15,26.467,27.042,26.275,26.641,3676406.0,56427852.0,1.742
2010-09-16,26.118,26.484,24.846,25.23,2177828.0,31948604.0,1.742
2010-09-17,25.439,25.439,24.916,25.09,1080919.0,15584708.0,1.742
2010-09-20,24.829,25.23,23.627,24.236,1092993.0,15527064.0,1.742
2010-09-21,24.132,24.55,23.905,24.306,597073.0,8295032.0,1.742
2010-09-27,24.376,24.864,24.271,24.846,646102.0,9107746.0,1.742
2010-09-28,24.846,25.16,24.271,24.393,683300.0,9703540.0,1.742
2010-09-29,24.393,24.811,24.167,24.167,558766.0,7842730.0,1.742
2010-09-30,24.202,24.655,24.167,24.637,653929.0,9168430.0,1.742
2010-10-08,24.777,25.247,24.655,25.038,1136389.0,16338280.0,1.742
2010-10-11,25.142,25.404,24.968,25.404,2000839.0,28935704.0,1.742
2010-10-12,25.404,25.526,25.108,25.334,1285776.0,18671374.0,1.742
2010-10-13,25.334,25.717,25.143,25.648,1717832.0,25148328.0,1.742
2010-10-14,25.7,25.752,24.689,24.724,1658055.0,23971726.0,1.742
2010-10-15,24.742,24.811,24.184,24.358,1620007.0,22710700.0,1.742
2010-10-18,24.358,24.585,23.348,24.498,1435986.0,19783556.0,1.742
2010-10-19,24.498,25.7,24.393,25.665,1838526.0,26561762.0,1.742
2010-10-20,25.526,26.118,25.177,25.892,4475661.0,66414360.0,1.742
2010-10-21,25.77,25.77,25.23,25.491,1450338.0,21144184.0,1.742
2010-10-22,25.09,25.596,25.09,25.439,927712.0,13505119.0,1.742
2010-10-25,25.439,25.822,25.386,25.752,1755455.0,25804050.0,1.742
2010-10-26,25.752,26.118,25.543,25.996,2115339.0,31367558.0,1.742
2010-10-27,25.805,26.623,25.595,26.275,3072147.0,46200944.0,1.742
2010-10-28,26.153,26.275,25.613,26.066,2095952.0,31216424.0,1.742
2010-10-29,26.066,26.833,25.944,26.571,2568626.0,39041580.0,1.742
2010-11-01,27.007,27.808,26.484,27.739,6670003.0,104224088.0,1.742
2010-11-02,27.599,27.599,26.693,26.763,3978124.0,61807556.0,1.742
2010-11-03,26.658,26.711,25.839,25.839,1920889.0,28803652.0,1.742
2010-11-04,25.787,26.484,25.787,26.205,1170102.0,17568974.0,1.742
